ID-ES,TERM-ES,,ID,TERM,Qualifier,INITIAL DEFINITION,FINAL DEFINITION,BiBLIOGRAPHY,SYNONYMS,Observations
1,Acanalado,,1,Cannele,,"Weave with transverse ribs formed by warp floats. When the term is not qualified by an adjective, the construction is an extended tabby repeating on two ends, but with two or more picks in each shed. ","Weave with transverse ribs formed by warp floats. When the term is not qualified by an adjective, the construction is an extended tabby repeating on two ends, but with two or more picks in each shed. ","Montgomery, Florence. Textiles in America, 1650-1870. New York: W W Norton & Co Inc, 1984; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",cannelé doubleté,
2,Acanalado,,2,Extended tabby,,"Tabby in which warp ends or weft picks, or both, move in groups of two or more.","Tabby in which warp ends or weft picks, or both, move in groups of two or more.","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,
4,Acanalado alterno,,4,Cannelé alternatif,,"Weave with transverse ribs on the face only. There is only one warp and while the even­numbered ends float on the face, the odd­numbered ends are woven to form a tabby ground. The odd-numbered ends then float on the face, while the even-numbered ends are woven to form the ground.","Weave with transverse ribs on the face only. There is only one warp and while the even­numbered ends float on the face, the odd­numbered ends are woven to form a tabby ground. The odd-numbered ends then float on the face, while the even-numbered ends are woven to form the ground.","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.
",,
5,Acanalado con dos urdimbres,,5,Cannele simpleté,,Weave with transverse ribs on the face only. The flushing warp floats on the face above a tabby ground formed by the main warp and the weft. The ends of the flushing warp are bound at regular intervals by one or two picks of the weft.,Weave with transverse ribs on the face only. The flushing warp floats on the face above a tabby ground formed by the main warp and the weft. The ends of the flushing warp are bound at regular intervals by one or two picks of the weft.,"Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.
",,
6,Acanalado contramostrado,,6,Cannetillé,,"Weave derived from cannelé símpleté with short ribs on the face only. These are arranged to give a surface with an appearance of small monochrome checks. The flushing warp floats above a tabby ground formed by the main warp and weft, and the ends of the flushing warp are bound at intervals in groups by the weft.","Weave derived from cannelé símpleté with short ribs on the face only. These are arranged to give a surface with an appearance of small monochrome checks. The flushing warp floats above a tabby ground formed by the main warp and weft, and the ends of the flushing warp are bound at intervals in groups by the weft.","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.
",,
7,Acanalado de las Indias,,7,Cannelé des Indes,,"Weave derived from cannelé símpleté with a smooth face weakly marked by transverse ribs. The flushing warp floats above a tabby ground formed by the main warp and the weft. Alternate ends of the flushing warp float, while the remain­ing ends are bound by the weft.",,"Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.
",,
400,Acanalado longitudinal,,400,Warp rib fabric,,Weave with longitudinal ribs formed by floating picks over a plain weave ground .,Weave with longitudinal ribs formed by floating picks over a plain weave ground . ,"Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980; Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014;Montgomery, Florence.Textiles in America, 1650-1870. New York: W W Norton & Co Inc, 1984; Wilson, Janet. Classic and Modern Fabrics: The Complete Illustrated Sourcebook. London: Thames & Hudson Ltd, 2010.",ottoman cord,
399,Acanalado oblícuo,,399,Ribbed satin,,A fabric with alternating stripes of rib and satin weave. ,A fabric with alternating stripes of rib and satin weave. ,"Wilson, Janet. Classic and Modern Fabrics: The Complete Illustrated Sourcebook. London: Thames & Hudson Ltd, 2010.",,
401,Acanalado transversal,,401,Weft rib fabric,,Weave with tranverse ribs formed by floating ends curving over and covering weft picks on a plain weave ground .,Weave with tranverse ribs formed by floating ends curving over and covering weft picks on a plain weave ground .,"Wilson, Janet. Classic and Modern Fabrics: The Complete Illustrated Sourcebook. London: Thames & Hudson Ltd, 2010; Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014.",,
,,,,,,,,,,
9,Aceituní ,,9,Aceytuni,,A medieval name for satin.,"A medieval name for satin. Rich silk fabric that began to be manufactured in Chinese town of Zayton, although in the fifteenth century the one made in Italy was already famous. It was dyed in all colors, but when the voice fell into disuse was confused with the color of the olive. There are several varieties: one embroidered with gold, another similar to velvet and the most luxurious velvet embroidered with gold.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014.",,
8,Acolchado,,8,Matelassé,,A double-woven textile with a quilted appear­ance. A wadding weft is used to in crease the relief.,"A double cloth fabric that is composed of two separate fabic layer, A thick double cloth or compound woven fabric with a characteristic quilted or puckered appearance on the face side. In-between the two fabric layers, very thick weft yams. usually soft cotton, are inserted as wadding picks. These are not visible on either side of the fabric, but they accentuate the quilted effect. The fabric layers are held together by the figuring threads, which form the figures or pattern on the face of the fabric. ","Wilson, Janet. Classic and Modern Fabrics: The Complete Illustrated Sourcebook. London: Thames & Hudson Ltd, 2010; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.
",,
